caso,nodo_u,nodo_v,dist_km,SKR_bits_pulso,viable_QKD
CyL,Adrada (La),Mombeltrán,32.77720068731872,0.004152246088880877,True
CyL,Adrada (La),Ávila,40.08861864841566,0.0029619665969352225,True
CyL,Adrada (La),Navaluenga,13.860100088380268,0.009967763904747188,True
CyL,Adrada (La),Cebreros,22.528580037305225,0.006670274216761079,True
CyL,Mombeltrán,Barco de Ávila (El),44.225397361937866,0.002446867511943354,True
CyL,Mombeltrán,Navaluenga,31.190664579171383,0.004468184609697765,True
CyL,Mombeltrán,Candeleda,22.1660509812748,0.006783164996986052,True
CyL,Mombeltrán,Piedrahíta,34.69358362375083,0.0038003307868184856,True
CyL,Arévalo,Carpio,36.5546787446037,0.0034871967751799017,True
CyL,Arévalo,Peñaranda de Bracamonte,44.159601323277805,0.0024543131108297456,True
CyL,Arévalo,Carbonero el Mayor,38.671009791973596,0.003162403646029676,True
CyL,Arévalo,Nava de la Asunción,22.127470936866082,0.006795291165530317,True
CyL,Arévalo,Pedrajas de San Esteban,32.77828017967942,0.004152038932078305,True
CyL,Arévalo,Seca (La),41.91177153272962,0.00272277435579453,True
CyL,Ávila,Navaluenga,27.300996950093754,0.005348603885835426,True
CyL,Ávila,Cebreros,29.957925298398152,0.004730220885476976,True
CyL,Ávila,Espinar (El),38.78902505326668,0.003145211203447769,True
CyL,Barco de Ávila (El),Candeleda,32.92956490402108,0.004123109314331464,True
CyL,Barco de Ávila (El),Piedrahíta,20.32615716287004,0.007386392771914014,True
CyL,Barco de Ávila (El),Béjar,20.75521752011414,0.007241069405036806,True
CyL,Barco de Ávila (El),Guijuelo,25.421163851391004,0.005834538186888569,True
CyL,Navaluenga,Cebreros,21.141317279598486,0.007112754161766817,True
CyL,Candeleda,Piedrahíta,35.09148401447079,0.003731096896942919,True
CyL,Cebreros,Espinar (El),34.48934429125676,0.0038363665842678376,True
CyL,Carpio,Villoria,32.88136548710106,0.004132304309330985,True
CyL,Carpio,Peñaranda de Bracamonte,35.2648644050784,0.003701325779692729,True
CyL,Carpio,Seca (La),28.10752221734029,0.0051527702849765485,True
CyL,Carpio,Fuentesaúco,32.324765567113616,0.004239987948882285,True
CyL,Carpio,Toro,42.10594507490828,0.0026984674059517457,True
CyL,Espinar (El),Carbonero el Mayor,45.044128878098505,0.0023560875035299883,True
CyL,Espinar (El),San Cristóbal de Segovia,29.829216251791106,0.004758453292709377,True
CyL,Piedrahíta,Béjar,38.11204150319047,0.003245121591256756,True
CyL,Piedrahíta,Guijuelo,30.936502838829448,0.004520991733617155,True
CyL,Burgos,Belorado,42.808490175755004,0.0026123224996552567,True
CyL,Burgos,Briviesca,38.67717536850132,0.00316150312001418,True
CyL,Burgos,Lerma,35.33588883733654,0.0036891990249717658,True
CyL,Burgos,Merindad de Río Ubierna,30.936456932034872,0.004521001327968792,True
CyL,Burgos,Villadiego,32.047254623862784,0.004294723612453668,True
CyL,Aranda de Duero,Huerta de Rey,33.66252321994401,0.003985783737065429,True
CyL,Aranda de Duero,Lerma,39.79361705038845,0.003002601113107964,True
CyL,Aranda de Duero,Roa,20.24739733575077,0.007413385509830497,True
CyL,Aranda de Duero,Mozoncillo,33.014219281350876,0.004107009430085027,True
CyL,Belorado,Briviesca,18.125701048022705,0.008179068987931042,True
CyL,Belorado,Miranda de Ebro,35.70101311977733,0.0036274830655086466,True
CyL,Belorado,Merindad de Río Ubierna,43.57482871200548,0.0025214914789272597,True
CyL,Belorado,Salas de los Infantes,44.87126555677198,0.002374969385237565,True
CyL,Briviesca,Miranda de Ebro,34.317286195367636,0.003866989995220292,True
CyL,Briviesca,Merindad de Río Ubierna,27.741552490927806,0.005240724162145983,True
CyL,Briviesca,Trespaderne,28.52604937945903,0.005053998895798847,True
CyL,Miranda de Ebro,Trespaderne,38.41902215287977,0.003199428885237137,True
CyL,Villarcayo de Merindad de Castilla la Vieja,Merindad de Río Ubierna,36.31289249328496,0.0035263693697231953,True
CyL,Villarcayo de Merindad de Castilla la Vieja,Trespaderne,21.187042283925376,0.007097710144384851,True
CyL,Villarcayo de Merindad de Castilla la Vieja,Valle de Mena,29.627580737782523,0.004803022330241778,True
CyL,Huerta de Rey,Lerma,39.497964579614276,0.003043885415089229,True
CyL,Huerta de Rey,Duruelo de la Sierra,36.78651539468953,0.003450045637682089,True
CyL,Huerta de Rey,Salas de los Infantes,21.04109537349122,0.007145840410802901,True
CyL,Huerta de Rey,Burgo de Osma-Ciudad de Osma,36.5609814921809,0.003486181497772822,True
CyL,Huerta de Rey,San Leonardo de Yagüe,23.45370275158947,0.0063906702174246705,True
CyL,Lerma,Roa,39.230630673666894,0.0030817045837680393,True
CyL,Lerma,Salas de los Infantes,38.78447398051722,0.0031458724641882305,True
CyL,Melgar de Fernamental,Villadiego,22.925023787769085,0.006548981371965523,True
CyL,Melgar de Fernamental,Herrera de Pisuerga,22.386280657847845,0.006714359188348527,True
CyL,Melgar de Fernamental,Torquemada,41.55348821520934,0.002768201699531854,True
CyL,Melgar de Fernamental,Carrión de los Condes,30.213278825183046,0.004674705233127111,True
CyL,Melgar de Fernamental,Saldaña,42.437629108962966,0.0026574481020583606,True
CyL,Merindad de Río Ubierna,Trespaderne,29.504637384592442,0.004830402670467146,True
CyL,Merindad de Río Ubierna,Villadiego,31.55245935807137,0.004394079626374044,True
CyL,Trespaderne,Valle de Mena,34.2953823957505,0.0038709060376175474,True
CyL,Duruelo de la Sierra,Salas de los Infantes,30.274445492922514,0.0046615044678610185,True
CyL,Duruelo de la Sierra,Burgo de Osma-Ciudad de Osma,42.26663983761275,0.002678515754844466,True
CyL,Duruelo de la Sierra,Soria,44.11816726310244,0.0024590134962611133,True
CyL,Duruelo de la Sierra,San Leonardo de Yagüe,17.81908064929229,0.008296114722610482,True
CyL,Roa,Campaspero,32.00167116157736,0.0043037818953054145,True
CyL,Salas de los Infantes,San Leonardo de Yagüe,28.244383369591883,0.005120260112176957,True
CyL,Villadiego,Herrera de Pisuerga,27.687934585164424,0.005253736111770245,True
CyL,San Justo de la Vega,Bañeza (La),19.733422968312645,0.007591986956300801,True
CyL,San Justo de la Vega,Folgoso de la Ribera,32.644730658765496,0.0041777461710750564,True
CyL,San Justo de la Vega,Santa Marina del Rey,14.425710963925354,0.009709620776032884,True
