origen,destino,sp_hops,sp_dist_km,sp_skr_bottleneck,sp_path,mqr_hops,mqr_dist_km,mqr_skr_bottleneck,mqr_path,skr_gain,hop_overhead
Adrada (La),Bermillo de Sayago,7,212.69483019401341,0.0020655516974038318,Adrada (La) -> Mombeltrán -> Piedrahíta -> Guijuelo -> Terradillos -> Salamanca -> Ledesma -> Bermillo de Sayago,8,227.58152346812,0.0021790861345501646,Adrada (La) -> Mombeltrán -> Candeleda -> Barco de Ávila (El) -> Guijuelo -> Terradillos -> Salamanca -> Ledesma -> Bermillo de Sayago,1.0549656720231368,1
Adrada (La),Briviesca,8,288.87500007325167,0.001280838767155935,Adrada (La) -> Cebreros -> Espinar (El) -> Carbonero el Mayor -> Campaspero -> Roa -> Lerma -> Burgos -> Briviesca,17,472.96733445895222,0.0021790861345501646,Adrada (La) -> Mombeltrán -> Candeleda -> Barco de Ávila (El) -> Guijuelo -> Terradillos -> Villoria -> Carpio -> Seca (La) -> Pedraja de Portillo (La) -> Santovenia de Pisuerga -> Venta de Baños -> Paredes de Nava -> Carrión de los Condes -> Melgar de Fernamental -> Villadiego -> Merindad de Río Ubierna -> Briviesca,1.7012962056018663,9
Adrada (La),Burgo de Osma-Ciudad de Osma,6,203.72524104734515,0.0014233262634826336,Adrada (La) -> Cebreros -> Espinar (El) -> San Cristóbal de Segovia -> Cantalejo -> Mozoncillo -> Burgo de Osma-Ciudad de Osma,16,432.00478357213706,0.0021662637949031692,Adrada (La) -> Mombeltrán -> Candeleda -> Barco de Ávila (El) -> Guijuelo -> Terradillos -> Villoria -> Carpio -> Seca (La) -> Pedraja de Portillo (La) -> Traspinedo -> Campaspero -> Roa -> Aranda de Duero -> Huerta de Rey -> San Leonardo de Yagüe -> Burgo de Osma-Ciudad de Osma,1.5219727552857036,10
Adrada (La),Burgos,7,250.19782470475033,0.001280838767155935,Adrada (La) -> Cebreros -> Espinar (El) -> Carbonero el Mayor -> Campaspero -> Roa -> Lerma -> Burgos,16,445.72057723381585,0.0021790861345501646,Adrada (La) -> Mombeltrán -> Candeleda -> Barco de Ávila (El) -> Guijuelo -> Terradillos -> Villoria -> Carpio -> Seca (La) -> Pedraja de Portillo (La) -> Santovenia de Pisuerga -> Venta de Baños -> Paredes de Nava -> Carrión de los Condes -> Melgar de Fernamental -> Villadiego -> Burgos,1.7012962056018663,9
Adrada (La),Béjar,3,105.58282581426002,0.001763969626963644,Adrada (La) -> Mombeltrán -> Piedrahíta -> Béjar,4,108.62803409272874,0.002240832293450918,Adrada (La) -> Mombeltrán -> Candeleda -> Barco de Ávila (El) -> Béjar,1.2703349645016888,1
Adrada (La),Campaspero,4,143.62963403216952,0.001280838767155935,Adrada (La) -> Cebreros -> Espinar (El) -> Carbonero el Mayor -> Campaspero,11,295.79591810884949,0.0021790861345501646,Adrada (La) -> Mombeltrán -> Candeleda -> Barco de Ávila (El) -> Guijuelo -> Terradillos -> Villoria -> Carpio -> Seca (La) -> Pedraja de Portillo (La) -> Traspinedo -> Campaspero,1.7012962056018663,7
Adrada (La),Candeleda,2,54.943251668593518,0.0022566528879488061,Adrada (La) -> Mombeltrán -> Candeleda,3,67.216815648826454,0.0024281816759843997,Adrada (La) -> Navaluenga -> Mombeltrán -> Candeleda,1.0760102667767861,1
Adrada (La),Cantalejo,4,123.06932972469183,0.0019247965150194762,Adrada (La) -> Cebreros -> Espinar (El) -> San Cristóbal de Segovia -> Cantalejo,12,331.3754622462356,0.0021790861345501646,Adrada (La) -> Mombeltrán -> Candeleda -> Barco de Ávila (El) -> Guijuelo -> Terradillos -> Villoria -> Carpio -> Seca (La) -> Pedrajas de San Esteban -> Nava de la Asunción -> Carbonero el Mayor -> Cantalejo,1.1321124687967941,8
Adrada (La),Carbonero el Mayor,3,102.06205320666049,0.001280838767155935,Adrada (La) -> Cebreros -> Espinar (El) -> Carbonero el Mayor,11,299.25382872503241,0.0021790861345501646,Adrada (La) -> Mombeltrán -> Candeleda -> Barco de Ávila (El) -> Guijuelo -> Terradillos -> Villoria -> Carpio -> Seca (La) -> Pedrajas de San Esteban -> Nava de la Asunción -> Carbonero el Mayor,1.7012962056018663,8
Adrada (La),Carpio,5,177.28774174323777,0.001280838767155935,Adrada (La) -> Cebreros -> Espinar (El) -> Carbonero el Mayor -> Arévalo -> Carpio,7,201.94696338598914,0.0021790861345501646,Adrada (La) -> Mombeltrán -> Candeleda -> Barco de Ávila (El) -> Guijuelo -> Terradillos -> Villoria -> Carpio,1.7012962056018663,2
Adrada (La),Carrión de los Condes,7,252.62978057065132,0.001280838767155935,Adrada (La) -> Cebreros -> Espinar (El) -> Carbonero el Mayor -> Pedrajas de San Esteban -> Santovenia de Pisuerga -> Palencia -> Carrión de los Condes,13,360.53501999700092,0.0021790861345501646,Adrada (La) -> Mombeltrán -> Candeleda -> Barco de Ávila (El) -> Guijuelo -> Terradillos -> Villoria -> Carpio -> Seca (La) -> Pedraja de Portillo (La) -> Santovenia de Pisuerga -> Venta de Baños -> Paredes de Nava -> Carrión de los Condes,1.7012962056018663,6
Adrada (La),Cebreros,1,22.528580037305225,0.0036227995459140634,Adrada (La) -> Cebreros,2,35.001417367978753,0.003862645322255432,Adrada (La) -> Navaluenga -> Cebreros,1.0662045396941369,1
Adrada (La),Cervera de Pisuerga,9,321.25217111581026,0.001280838767155935,Adrada (La) -> Cebreros -> Espinar (El) -> Carbonero el Mayor -> Campaspero -> Traspinedo -> Venta de Baños -> Paredes de Nava -> Saldaña -> Cervera de Pisuerga,16,446.28059279124767,0.0021790861345501646,Adrada (La) -> Mombeltrán -> Candeleda -> Barco de Ávila (El) -> Guijuelo -> Terradillos -> Villoria -> Carpio -> Seca (La) -> Pedraja de Portillo (La) -> Santovenia de Pisuerga -> Venta de Baños -> Paredes de Nava -> Carrión de los Condes -> Melgar de Fernamental -> Herrera de Pisuerga -> Cervera de Pisuerga,1.7012962056018663,7
Adrada (La),Ciudad Rodrigo,5,172.90906171325321,0.0017972250431889081,Adrada (La) -> Mombeltrán -> Piedrahíta -> Guijuelo -> Alberca (La) -> Ciudad Rodrigo,13,360.99956845064469,0.0021790861345501646,Adrada (La) -> Mombeltrán -> Candeleda -> Barco de Ávila (El) -> Guijuelo -> Terradillos -> Salamanca -> Ledesma -> Bermillo de Sayago -> Fermoselle -> Aldeadávila de la Ribera -> Vitigudino -> Fuente de San Esteban (La) -> Ciudad Rodrigo,1.2124726075949293,8
Adrada (La),Cubillos del Sil,11,376.30568572363904,0.001280838767155935,Adrada (La) -> Cebreros -> Espinar (El) -> Carbonero el Mayor -> Pedrajas de San Esteban -> Santovenia de Pisuerga -> Villabrágima -> Valderas -> Villamañán -> San Justo de la Vega -> Folgoso de la Ribera -> Cubillos del Sil,17,472.13012525797734,0.0021790861345501646,Adrada (La) -> Mombeltrán -> Candeleda -> Barco de Ávila (El) -> Guijuelo -> Terradillos -> Villoria -> Carpio -> Seca (La) -> Zaratán -> Villabrágima -> Villalpando -> Benavente -> Santibáñez de Vidriales -> Bañeza (La) -> San Justo de la Vega -> Folgoso de la Ribera -> Cubillos del Sil,1.7012962056018663,6
Adrada (La),Duruelo de la Sierra,7,245.99188088495791,0.0014233262634826336,Adrada (La) -> Cebreros -> Espinar (El) -> San Cristóbal de Segovia -> Cantalejo -> Mozoncillo -> Burgo de Osma-Ciudad de Osma -> Duruelo de la Sierra,16,433.02305069253538,0.0021662637949031692,Adrada (La) -> Mombeltrán -> Candeleda -> Barco de Ávila (El) -> Guijuelo -> Terradillos -> Villoria -> Carpio -> Seca (La) -> Pedraja de Portillo (La) -> Traspinedo -> Campaspero -> Roa -> Aranda de Duero -> Huerta de Rey -> Salas de los Infantes -> Duruelo de la Sierra,1.5219727552857036,9
Adrada (La),Espinar (El),2,57.017924328561982,0.0020851222179626497,Adrada (La) -> Cebreros -> Espinar (El),13,353.83692033773661,0.0021790861345501646,Adrada (La) -> Mombeltrán -> Candeleda -> Barco de Ávila (El) -> Guijuelo -> Terradillos -> Villoria -> Carpio -> Seca (La) -> Pedrajas de San Esteban -> Nava de la Asunción -> Carbonero el Mayor -> San Cristóbal de Segovia -> Espinar (El),1.0450639851122616,11
Adrada (La),Fermoselle,7,235.21785495977863,0.0017972250431889081,Adrada (La) -> Mombeltrán -> Piedrahíta -> Guijuelo -> Alberca (La) -> Fuente de San Esteban (La) -> Vitigudino -> Fermoselle,9,252.03602734768526,0.0021790861345501646,Adrada (La) -> Mombeltrán -> Candeleda -> Barco de Ávila (El) -> Guijuelo -> Terradillos -> Salamanca -> Ledesma -> Bermillo de Sayago -> Fermoselle,1.2124726075949293,2
Adrada (La),Folgoso de la Ribera,10,356.19520058388503,0.001280838767155935,Adrada (La) -> Cebreros -> Espinar (El) -> Carbonero el Mayor -> Pedrajas de San Esteban -> Santovenia de Pisuerga -> Villabrágima -> Valderas -> Villamañán -> San Justo de la Vega -> Folgoso de la Ribera,16,452.01964011822332,0.0021790861345501646,Adrada (La) -> Mombeltrán -> Candeleda -> Barco de Ávila (El) -> Guijuelo -> Terradillos -> Villoria -> Carpio -> Seca (La) -> Zaratán -> Villabrágima -> Villalpando -> Benavente -> Santibáñez de Vidriales -> Bañeza (La) -> San Justo de la Vega -> Folgoso de la Ribera,1.7012962056018663,6
Adrada (La),Fuente de San Esteban (La),5,173.03240774364434,0.0017972250431889081,Adrada (La) -> Mombeltrán -> Piedrahíta -> Guijuelo -> Alberca (La) -> Fuente de San Esteban (La),12,329.08811074086969,0.0021790861345501646,Adrada (La) -> Mombeltrán -> Candeleda -> Barco de Ávila (El) -> Guijuelo -> Terradillos -> Salamanca -> Ledesma -> Bermillo de Sayago -> Fermoselle -> Aldeadávila de la Ribera -> Vitigudino -> Fuente de San Esteban (La),1.2124726075949293,7
Adrada (La),Fuentes de Oñoro,6,197.28547828878794,0.0017972250431889081,Adrada (La) -> Mombeltrán -> Piedrahíta -> Guijuelo -> Alberca (La) -> Ciudad Rodrigo -> Fuentes de Oñoro,14,385.37598502617948,0.0021790861345501646,Adrada (La) -> Mombeltrán -> Candeleda -> Barco de Ávila (El) -> Guijuelo -> Terradillos -> Salamanca -> Ledesma -> Bermillo de Sayago -> Fermoselle -> Aldeadávila de la Ribera -> Vitigudino -> Fuente de San Esteban (La) -> Ciudad Rodrigo -> Fuentes de Oñoro,1.2124726075949293,8
Adrada (La),Fuentesaúco,5,175.42427865366386,0.0013766148642640459,Adrada (La) -> Mombeltrán -> Piedrahíta -> Guijuelo -> Terradillos -> Fuentesaúco,7,196.5777866140279,0.0021790861345501646,Adrada (La) -> Mombeltrán -> Candeleda -> Barco de Ávila (El) -> Guijuelo -> Terradillos -> Salamanca -> Fuentesaúco,1.5829308480663029,2
Adrada (La),Gradefes,9,320.2370417968192,0.001280838767155935,Adrada (La) -> Cebreros -> Espinar (El) -> Carbonero el Mayor -> Campaspero -> Traspinedo -> Venta de Baños -> Paredes de Nava -> Saldaña -> Gradefes,15,416.10073165897268,0.0021790861345501646,Adrada (La) -> Mombeltrán -> Candeleda -> Barco de Ávila (El) -> Guijuelo -> Terradillos -> Villoria -> Carpio -> Seca (La) -> Zaratán -> Villabrágima -> Villalpando -> Valderas -> Villamañán -> Villasabariego -> Gradefes,1.7012962056018663,6
Adrada (La),Guijuelo,3,98.407287149898991,0.0020655516974038318,Adrada (La) -> Mombeltrán -> Piedrahíta -> Guijuelo,4,113.2939804240056,0.002240832293450918,Adrada (La) -> Mombeltrán -> Candeleda -> Barco de Ávila (El) -> Guijuelo,1.0848589731583065,1
Adrada (La),Herrera de Pisuerga,8,288.71091854641514,0.001280838767155935,Adrada (La) -> Cebreros -> Espinar (El) -> Carbonero el Mayor -> Pedrajas de San Esteban -> Santovenia de Pisuerga -> Palencia -> Carrión de los Condes -> Herrera de Pisuerga,15,413.13457948003179,0.0021790861345501646,Adrada (La) -> Mombeltrán -> Candeleda -> Barco de Ávila (El) -> Guijuelo -> Terradillos -> Villoria -> Carpio -> Seca (La) -> Pedraja de Portillo (La) -> Santovenia de Pisuerga -> Venta de Baños -> Paredes de Nava -> Carrión de los Condes -> Melgar de Fernamental -> Herrera de Pisuerga,1.7012962056018663,7
Adrada (La),Huerta de Rey,7,227.64244213630928,0.0017816218199113733,Adrada (La) -> Cebreros -> Espinar (El) -> San Cristóbal de Segovia -> Cantalejo -> Mozoncillo -> Aranda de Duero -> Huerta de Rey,14,381.70750982612168,0.0021662637949031692,Adrada (La) -> Mombeltrán -> Candeleda -> Barco de Ávila (El) -> Guijuelo -> Terradillos -> Villoria -> Carpio -> Seca (La) -> Pedraja de Portillo (La) -> Traspinedo -> Campaspero -> Roa -> Aranda de Duero -> Huerta de Rey,1.215894288391085,7
