origen,destino,sp_hops,sp_dist_km,sp_skr_bottleneck,mqr_hops,mqr_dist_km,mqr_skr_bottleneck,skr_gain,hop_overhead
Ólvega,Venta de Baños,8,269.6,0.0024590134962611133,12,388.0,0.0030034822654554164,1.2214175603436737,4
Ólvega,Cubillos del Sil,13,454.8,0.0024590134962611133,21,688.7,0.0030034822654554164,1.2214175603436737,8
Ólvega,Villaquilambre,10,361.8,0.0024590134962611133,18,595.8,0.0030034822654554164,1.2214175603436737,8
Ólvega,Mozoncillo,4,168.9,0.0024590134962611133,7,223.7,0.0030034822654554164,1.2214175603436737,3
Ólvega,Burgos,5,201.9,0.002374969385237565,7,231.8,0.0030034822654554164,1.2646404135247336,2
Ólvega,Vitigudino,11,430.5,0.0024543131108297456,15,503.3,0.0030034822654554164,1.2237567620049952,4
Ólvega,Zaratán,8,267.6,0.0024590134962611133,11,357.1,0.0030034822654554164,1.2214175603436737,3
Ólvega,Arcos de Jalón,3,108.4,0.0030034822654554164,3,108.4,0.0030034822654554164,1.0,0
Ólvega,Miranda de Ebro,5,194.8,0.002374969385237565,9,304.8,0.0030034822654554164,1.2646404135247336,4
Ólvega,Aldeadávila de la Ribera,12,458.3,0.0024543131108297456,17,543.4,0.0030034822654554164,1.2237567620049952,5
Ólvega,Viana de Cega,8,254.6,0.0024590134962611133,11,344.1,0.0030034822654554164,1.2214175603436737,3
Ólvega,Seca (La),8,266.6,0.0024590134962611133,12,397.0,0.0030034822654554164,1.2214175603436737,4
Ólvega,Roa,5,174.6,0.0024590134962611133,7,210.9,0.0030034822654554164,1.2214175603436737,2
Ólvega,Cebreros,8,318.5,0.0023560875035299883,22,703.7,0.0030034822654554164,1.2747753472464305,14
