,Degree Centrality,Closeness Centrality,Betweenness Centrality,Eigenvector Centrality,Clustering Coefficient,Cluster
Jimena de la Frontera,0.009483667017913592,0.06540767799296988,0.0014034413700303057,4.605316175354281e-13,0.5555555555555556,0
Paterna de Rivera,0.009483667017913592,0.06450955067636463,0.001432272418584392,3.1489983265765517e-13,0.5277777777777778,0
Puerto Serrano,0.012644889357218123,0.06987188926520395,0.003204456333050726,1.7251118397038886e-12,0.5454545454545454,0
Tarifa,0.0031612223393045306,0.059873817034700315,1.018912498017752e-06,2.850663712885781e-14,0.6666666666666666,1
Lebrija,0.0073761854583772385,0.06799455470373289,0.003255847945528718,6.530076419708996e-13,0.47619047619047616,2
Carpio (El),0.012644889357218123,0.08534940192463351,0.03953358257318426,2.281964300763924e-11,0.42424242424242425,2
Monturque,0.012644889357218123,0.08013849011991217,0.006078584255231507,3.7286949443562735e-12,0.5303030303030303,0
Añora,0.009483667017913592,0.08631195998180992,0.012132902346387819,1.8807217368493813e-10,0.6666666666666666,1
Priego de Córdoba,0.011591148577449946,0.08019944223780952,0.00973718832949092,8.47801659609012e-12,0.4,2
Posadas,0.01053740779768177,0.08064242012236573,0.01188822256292288,8.143880710175674e-12,0.4444444444444444,2
Doña Mencía,0.011591148577449946,0.0834946331163118,0.014858563914998518,9.742027510357385e-12,0.4,2
Belalcázar,0.009483667017913592,0.08657179346834519,0.01629383178742117,2.2586027296501523e-10,0.5,2
Peñarroya-Pueblonuevo,0.008429926238145416,0.082882096069869,0.007263688693702683,4.545103951697456e-11,0.5714285714285714,0
Benamejí,0.014752370916754477,0.0788402425853618,0.01769549085471985,3.8718706964026975e-12,0.4835164835164835,2
Cañete de las Torres,0.01053740779768177,0.08502822327748409,0.002717651666482513,1.9398600938694077e-11,0.5777777777777777,0
Cardeña,0.009483667017913592,0.08835303975421283,0.022978657858879134,8.112745588186735e-11,0.4722222222222222,2
Guadalcázar,0.012644889357218123,0.08242855902023799,0.04375839222438362,9.108825259897672e-12,0.4090909090909091,2
Espejo,0.009483667017913592,0.07998988536749832,0.000920049484294117,5.784306991210239e-12,0.5277777777777778,0
Victoria (La),0.009483667017913592,0.08220008661758336,0.004599956780780228,1.0032668617461614e-11,0.5,2
Villanueva del Rey,0.01053740779768177,0.08361233480176211,0.01747452946486938,5.5646802481085354e-11,0.5111111111111111,0
Rambla (La),0.012644889357218123,0.08050559891414999,0.012325961034333505,4.941217606345676e-12,0.4696969696969697,2
Cuevas de San Marcos,0.011591148577449946,0.07857911733046287,0.005066781437207791,3.1567777765459688e-12,0.5454545454545454,0
Villa del Río,0.009483667017913592,0.08489131407102603,0.0025034759472862492,1.889439528311562e-11,0.6111111111111112,0
Obejo,0.01053740779768177,0.08534940192463351,0.017678987130139486,5.1322776664996244e-11,0.5111111111111111,0
Peñaflor,0.009483667017913592,0.07881405198903746,0.01258828691052993,2.6982153137385276e-12,0.5555555555555556,0
Pedroche,0.01053740779768177,0.0888992974238876,0.033024868463248966,2.3839526762341533e-10,0.5333333333333333,0
Casariche,0.0136986301369863,0.07560548119821542,0.001868692400442056,2.990938913299082e-12,0.5897435897435898,0
Villanueva de Córdoba,0.008429926238145416,0.08657179346834519,0.005396602234243785,9.613803228979489e-11,0.5714285714285714,0
Villaralto,0.011591148577449946,0.08657179346834519,0.023835273284597336,2.3276958252193604e-10,0.5272727272727272,0
Villaviciosa de Córdoba,0.011591148577449946,0.08381911323087794,0.021404924255938845,4.936649120582902e-11,0.4727272727272727,2
Pulianas,0.014752370916754477,0.079255052613997,0.003964194407012748,1.1772516380409168e-11,0.5824175824175825,0
Polopos,0.01053740779768177,0.07488361082616586,0.0002434158138232801,5.7593267143288745e-12,0.6222222222222222,0
Dúrcal,0.015806111696522653,0.07591392688584914,0.0011175205332761122,7.62756929327443e-12,0.5619047619047619,0
Arenas del Rey,0.01685985247629083,0.07581083240134207,0.009226386339253883,5.9408784465076264e-12,0.5083333333333333,0
Ogíjares,0.01685985247629083,0.079255052613997,0.007340551834902967,1.0166756703032317e-11,0.5416666666666666,0
Itrabo,0.012644889357218123,0.07541921640308352,0.0015220897246080293,4.896090946328222e-12,0.6212121212121212,0
Cádiar,0.015806111696522653,0.0752517643327254,0.002064936467560893,1.1422333817630197e-11,0.5047619047619047,2
Vegas del Genil,0.012644889357218123,0.07880096321514572,0.000960756152480522,8.499847191276663e-12,0.6818181818181818,1
Caniles,0.0136986301369863,0.08087608658598944,0.010198482498307649,9.141391959450089e-11,0.41025641025641024,2
Pinos Genil,0.01685985247629083,0.08008438818565401,0.010312266505019332,1.3296640331749835e-11,0.5333333333333333,0
Purullena,0.0136986301369863,0.08015202702702702,0.009957695570834346,2.161956021227549e-11,0.47435897435897434,2
Colomera,0.014752370916754477,0.07981497056349873,0.002424486350031678,1.5088544830858735e-11,0.5384615384615384,0
Cortes de Baza,0.01053740779768177,0.08546469740634005,0.010248145828344919,8.047129178938253e-11,0.6444444444444445,0
Noalejo,0.014752370916754477,0.08371559633027523,0.005937933107242641,2.869095538439324e-11,0.5384615384615384,0
Galera,0.011591148577449946,0.08493690145887407,0.007054969207233179,1.8700466072871205e-10,0.5454545454545454,0
Castril,0.011591148577449946,0.08554173427077699,0.0035767348166503505,1.2078785824991065e-10,0.5818181818181818,0
Cijuela,0.0136986301369863,0.07919552699657849,0.005192845511569031,9.23530784726267e-12,0.5512820512820513,0
Freila,0.0136986301369863,0.08364181209236736,0.011806540078193727,6.591477769920274e-11,0.48717948717948717,2
Cúllar,0.011591148577449946,0.08434056167792392,0.006248190359188136,1.723293530641194e-10,0.5272727272727272,0
Montejícar,0.012644889357218123,0.08378211353403373,0.0032815578543642634,2.8150628037588107e-11,0.5757575757575758,0
Valle del Zalabí,0.01053740779768177,0.07960073813118604,0.001997164829738378,1.930832555973268e-11,0.5777777777777777,0
Huétor Tájar,0.014752370916754477,0.07825513317390946,0.009758511619769882,6.0552400519960724e-12,0.4065934065934066,2
Pinar (El),0.01685985247629083,0.0838339222614841,0.01368379214764703,2.9645451012564563e-11,0.475,2
Jerez del Marquesado,0.01685985247629083,0.07990233223878083,0.007381834508316253,1.8115868508966412e-11,0.4666666666666667,2
Órgiva,0.014752370916754477,0.07513261024463622,0.001704149680870231,7.47398899893274e-12,0.5714285714285714,0
Motril,0.009483667017913592,0.07378897441878547,7.409430427743186e-05,3.5373874643609236e-12,0.75,1
Pedro Martínez,0.0136986301369863,0.08419091554293825,0.012760365828714577,4.048370416321413e-11,0.4230769230769231,2
Puebla de Don Fadrique,0.008429926238145416,0.08904945106502768,0.029066177105903715,3.77188952895166e-10,0.4642857142857143,2
Alcaucín,0.011591148577449946,0.07480097737841886,0.00505546491888012,2.8153721925447076e-12,0.5454545454545454,0
Huelva,0.0073761854583772385,0.06534012668686312,0.0013914314351427927,7.271253178378928e-13,0.6190476190476191,0
Jabugo,0.014752370916754477,0.07058386017106731,0.005037160968343827,1.105733276412082e-11,0.4835164835164835,2
Bollullos Par del Condado,0.012644889357218123,0.0691388605566079,0.0037554913634521795,1.9722029902158946e-12,0.5454545454545454,0
San Bartolomé de la Torre,0.01053740779768177,0.06511595992864004,0.0011639149748189205,1.2711162688129895e-12,0.4666666666666667,2
Higuera de la Sierra,0.011591148577449946,0.07191573204001213,0.0038286088022585697,7.237893842641077e-12,0.4727272727272727,2
Aroche,0.012644889357218123,0.06894297130403197,0.002767613358976108,7.34763811647661e-12,0.48484848484848486,2
Arroyomolinos de León,0.014752370916754477,0.0738751362291764,0.007483464381954575,1.4506679614771479e-11,0.5384615384615384,0
Ayamonte,0.0031612223393045306,0.062356265194822263,0.0,1.763760155955187e-13,1.0,1
