red,protocolo,p_star_topo,p_star_svc,C0_median
espana,random,0.46,0.3,0.0032688385638480004
espana,degree_static,0.47,0.28,0.003268838563848
espana,degree_adaptive,0.49,0.29,0.003268838563848
espana,betweenness_static,0.38,0.18,0.003268838563848
espana,betweenness_adaptive,0.05,0.03,0.003268838563848
