red,protocolo,n_realizaciones,p_star_topo_mean,p_star_topo_std,p_star_svc_mean,p_star_svc_std,n_sin_p_topo,n_sin_p_svc
cyl,degree_adaptive,50,0.312,0.016852299546352725,0.244,0.02374868417407583,0,0
cyl,betweenness_adaptive,50,0.2764,0.019365949499056324,0.22899999999999998,0.02844292530665578,0,0
espana,degree_adaptive,50,0.4882,0.0038418745424597125,0.29800000000000004,0.00979795897113271,0,0
espana,betweenness_adaptive,50,0.48779999999999996,0.008316249154516724,0.29900000000000004,0.0186815416922694,0,0
adif,degree_adaptive,50,0.1268,0.005810335618533584,0.04999999999999999,1.3877787807814457e-17,0,0
adif,betweenness_adaptive,50,0.0984,0.00703135833249878,0.051,0.007000000000000001,0,0
