red,delta,C_median,C_rel,frac_pares_cero
cyl,0.0,0.004161695298660283,1.00000000000002,0.0
cyl,0.1,0.0037441516611936548,0.8996698202290381,0.0
cyl,0.2,0.003326863164349037,0.7994009473543329,0.0
cyl,0.3,0.002909830073300702,0.6991934450937534,0.0
cyl,0.4,0.002493052656704448,0.5990473780017129,0.0
cyl,0.5,0.0020765311899119624,0.49896281224155764,0.0
cyl,0.6,0.0016602659629986955,0.3989398175145583,0.0
cyl,0.7,0.0012442573048128149,0.2989784728385536,0.0
cyl,0.8,0.0008285056789400622,0.1990788896070282,0.0
cyl,0.9,0.00041301235180439544,0.0992413721248067,0.0
espana,0.0,0.006017489291096519,1.000000000000003,0.0
espana,0.1,0.005413124799639379,0.8995653399248519,0.0
espana,0.2,0.004809289927299132,0.7992186931541325,0.0
espana,0.3,0.004205985457861178,0.6989601899390782,0.0
espana,0.4,0.00360321217848264,0.5987899610912422,0.0
espana,0.5,0.00300097088192406,0.4987081383533674,0.0
espana,0.6,0.00239926237212223,0.39871485532549056,0.0
espana,0.7,0.0017980874808891578,0.29881025024001534,0.0
espana,0.8,0.0011974471345921475,0.19899447704275847,0.0
espana,0.9,0.0005973428191414229,0.09926778266564655,0.0
adif,0.0,6.870944584597016e-05,1.0,0.0
adif,0.1,6.161993232424277e-05,0.8968189390201116,0.0
adif,0.2,5.4531080419702856e-05,0.7936475072430107,0.0
adif,0.3,4.744312917515173e-05,0.6904891837071087,0.0
adif,0.4,4.0356468076775464e-05,0.5873496370098055,0.0
adif,0.5,3.3271777654859345e-05,0.4842387716158643,0.0
adif,0.6,2.6190364318409674e-05,0.3811756010537778,0.0
adif,0.7,1.9115097140326754e-05,0.2782018819243302,0.0
adif,0.8,1.2053758270912251e-05,0.17543087595166815,0.0
adif,0.9,5.037707226305859e-06,0.07331899077747144,0.013
