red,protocolo,p,S_mean,S_std,C_median_mean,C_median_std
cyl,degree_adaptive,0.0,0.9952000000000001,0.005741080037762934,0.0051426741743007395,0.00023156011699039574
cyl,degree_adaptive,0.01,0.9842,0.0063529520697074415,,
cyl,degree_adaptive,0.02,0.9733999999999997,0.006200000000000005,,
cyl,degree_adaptive,0.03,0.963,0.006082762530298225,,
cyl,degree_adaptive,0.04,0.9526,0.006264183905346336,,
cyl,degree_adaptive,0.05,0.9419999999999998,0.00632455532033674,0.004540312308520394,0.00027032786237846866
cyl,degree_adaptive,0.06,0.9296,0.007472616676907732,,
cyl,degree_adaptive,0.07,0.9182000000000002,0.007665507158694728,,
cyl,degree_adaptive,0.08,0.9076,0.007364781055808795,,
cyl,degree_adaptive,0.09,0.8969999999999999,0.007810249675906661,,
cyl,degree_adaptive,0.1,0.8858,0.009184770002564036,0.004058644933119478,0.00027251686251630224
cyl,degree_adaptive,0.11,0.8736000000000002,0.011092339699089647,,
cyl,degree_adaptive,0.12,0.8613999999999998,0.012963024338479054,,
cyl,degree_adaptive,0.13,0.8496000000000001,0.01370547335920945,,
cyl,degree_adaptive,0.14,0.8371999999999999,0.013422369388450013,,
cyl,degree_adaptive,0.15,0.8257999999999999,0.014295453822806722,0.003588535616258052,0.0002545861599956398
cyl,degree_adaptive,0.16,0.813,0.015394804318340621,,
cyl,degree_adaptive,0.17,0.8004000000000001,0.017199999999999993,,
cyl,degree_adaptive,0.18,0.7864,0.017973313550928793,,
cyl,degree_adaptive,0.19,0.7706000000000001,0.018374982993189425,,
cyl,degree_adaptive,0.2,0.7542,0.021079848196796883,0.0027698296129331774,0.0007506604563380738
cyl,degree_adaptive,0.21,0.7394000000000002,0.02203724120664836,,
cyl,degree_adaptive,0.22,0.7238,0.02365502060874182,,
cyl,degree_adaptive,0.23,0.7078000000000002,0.025162670764447864,,
cyl,degree_adaptive,0.24,0.6918,0.026053022857242474,,
cyl,degree_adaptive,0.25,0.6712,0.02868030683238934,0.000262649292714966,0.0007895600160714551
