red,protocolo,p,S,S_std,C_median,C_median_std,C_mean,C_ci_low,C_ci_high
cyl,degree_adaptive,0.2,0.73,,0.003081704583768,,0.001832007662751805,,
cyl,degree_adaptive,0.21,0.72,,0.003081704583768,,0.0018010622811532847,,
cyl,degree_adaptive,0.22,0.71,,0.0029953657316153,,0.0017368553791482179,,
cyl,degree_adaptive,0.23,0.7,,0.0024836990625828,,0.001631118448619089,,
cyl,degree_adaptive,0.24,0.69,,0.0,,0.001569469940962239,,
cyl,degree_adaptive,0.25,0.68,,0.0,,0.001498087651139684,,
cyl,degree_adaptive,0.26,0.57,,0.0,,0.001123622873653523,,
cyl,degree_adaptive,0.27,0.48,,0.0,,0.0008373809020749884,,
cyl,degree_adaptive,0.28,0.47,,0.0,,0.0007799436217212695,,
cyl,degree_adaptive,0.29,0.46,,0.0,,0.0007317279191223156,,
cyl,degree_adaptive,0.3,0.46,,0.0,,0.0007257371876590851,,
cyl,degree_adaptive,0.31,0.45,,0.0,,0.0006803830841622531,,
cyl,degree_adaptive,0.32,0.42,,0.0,,0.0005958394644751064,,
cyl,degree_adaptive,0.33,0.42,,0.0,,0.0005888330400259475,,
cyl,degree_adaptive,0.34,0.42,,0.0,,0.0005808621596353265,,
cyl,degree_adaptive,0.35,0.41,,0.0,,0.0005582809003727633,,
cyl,degree_adaptive,0.36,0.41,,0.0,,0.0005582809003727633,,
cyl,degree_adaptive,0.37,0.36,,0.0,,0.0004544499760204127,,
cyl,degree_adaptive,0.38,0.29,,0.0,,0.0003404338927016072,,
cyl,degree_adaptive,0.39,0.15,,0.0,,0.0001943588529696806,,
cyl,degree_adaptive,0.4,0.14,,0.0,,0.0001846353420822074,,
cyl,degree_adaptive,0.41,0.14,,0.0,,0.0001706155408688295,,
cyl,degree_adaptive,0.42,0.14,,0.0,,0.0001706155408688295,,
cyl,degree_adaptive,0.43,0.08,,0.0,,0.0001263030608579107,,
cyl,degree_adaptive,0.44,0.08,,0.0,,0.000117960481148864,,
cyl,degree_adaptive,0.45,0.08,,0.0,,0.0001058439149664956,,
cyl,degree_adaptive,0.46,0.08,,0.0,,0.0001023567181913157,,
cyl,degree_adaptive,0.47,0.08,,0.0,,9.47029458668503e-05,,
cyl,degree_adaptive,0.48,0.07,,0.0,,7.77502865482347e-05,,
cyl,degree_adaptive,0.49,0.06,,0.0,,7.45887834282206e-05,,
cyl,degree_adaptive,0.5,0.05,,0.0,,6.82983610213252e-05,,
cyl,betweenness_static,0.0,1.0,,0.0041616952986602,,0.004146153424158901,,
