modelo,parametro,d_km,qber,skr_bits_pulso,skr_rel_sano
sano,-,10.0,0.015015631751286998,0.0064664382800499395,1.0
sano,-,30.0,0.015038871327556854,0.0025654307087494624,1.0
sano,-,45.0,0.015077295352206893,0.0012834511689390389,1.0
M1,delta=0.3,10.0,0.015022219488826979,0.00451919527183907,0.6988693119953769
M1,delta=0.3,30.0,0.015055417858844084,0.0017941083752569212,0.6993400247132273
M1,delta=0.3,45.0,0.01511030389786548,0.0008975246913726319,0.699305679167029
M1,delta=0.6,10.0,0.015038688623376546,0.002577662433808362,0.39862167118503067
M1,delta=0.6,30.0,0.015096779475950717,0.0010237035057196367,0.3990376751273272
M1,delta=0.6,45.0,0.015192805719532505,0.0005118303487776157,0.3987922261200781
M1,delta=0.9,10.0,0.015153943547289897,0.0006418954382749034,0.09926568699422368
M1,delta=0.9,30.0,0.015386114269495866,0.0002542229870553794,0.09909563574971869
M1,delta=0.9,45.0,0.015769533773042216,0.0001263753263549985,0.09846523920303589
M2,kappa=10,10.0,0.015156273631910319,0.006447726444623695,0.997106315004355
M2,kappa=10,30.0,0.015388436690781646,0.002546802751061154,0.9927388576020482
M2,kappa=10,45.0,0.015771853576800374,0.001264896800392152,0.9855433778893008
M2,kappa=100,10.0,0.016558361735126856,0.006262689481316473,0.9684913409964699
M2,kappa=100,30.0,0.018856923380688253,0.0023654370034596433,0.9220428349096564
M2,kappa=100,45.0,0.022610238878063762,0.0010883919698767008,0.8480197737296207
M2,kappa=1000,10.0,0.0301592625435944,0.004571804027223835,0.7070049738707979
M2,kappa=1000,30.0,0.05102408794832771,0.0008461882053077759,0.3298425494096687
M2,kappa=1000,45.0,0.08173847620743174,0.0,0.0
M3,de=0.01,10.0,0.02501531975609345,0.00491396965180537,0.7599190526515657
M3,de=0.01,30.0,0.025038080165348284,0.0019437036354723414,0.7576519719840001
M3,de=0.01,45.0,0.025075711941250637,0.0009713410934571739,0.7568196725864764
M3,de=0.02,10.0,0.0350150077608999,0.00352918699839238,0.5457698419979545
M3,de=0.02,30.0,0.03503728900313972,0.0013890928544760932,0.5414657467607911
M3,de=0.02,45.0,0.03507412853029438,0.0006928922684983483,0.539866482860525
M3,de=0.05,10.0,0.06501407177531925,0.0,0.0
M3,de=0.05,30.0,0.065034915516514,0.0,0.0
M3,de=0.05,45.0,0.0650693782974256,0.0,0.0
M2,kappa=10000,10.0,0.1341477156250889,0.0,0.0
M2,kappa=10000,30.0,0.23202693595407597,0.0,0.0
M2,kappa=10000,45.0,0.3142171642598288,0.0,0.0
