red,nodo,nombre,cb_unweighted,cb_weighted,rank_unweighted,rank_weighted
espana,Aldeanueva de la Vera,Aldeanueva de la Vera,0.001969737276485917,0.08363456091911094,712,22
espana,Alfarràs,Alfarràs,0.011989411859672986,0.0007469554894559229,289,834
espana,Alforja,Alforja,0.030402483153471757,0.01990769764308866,107,322
espana,Algar,Algar,0.001770132899002926,0.008303210574755571,726,515
espana,Alguazas,Alguazas,0.014493223984835641,0.015448195524491693,250,391
espana,Algámitas,Algámitas,0.01280050965942388,0.008465495547167128,275,513
espana,Alhama de Aragón,Alhama de Aragón,0.08548403559949955,0.10935117134180772,8,9
espana,Alhaurín de la Torre,Alhaurín de la Torre,0.0006501951152735716,0.0025098593678444556,845,737
espana,Alicante/Alacant,Alicante/Alacant,0.0021271354533469915,0.0016784267694619696,695,781
espana,Aliseda,Aliseda,0.006537872733171901,0.01685318323084926,442,373
espana,Allande,Allande,0.028824075705929323,0.02235086455651741,122,288
espana,Aller,Aller,0.006940962140903446,0.009359174436337606,424,491
espana,Almansa,Almansa,0.008707276385921387,0.009216897200250764,366,493
espana,Almazora/Almassora,Almazora/Almassora,0.001238396925426132,0.0,785,905
espana,Almazán,Almazán,0.00591786161861982,0.01372086095512487,477,417
espana,Almodóvar del Campo,Almodóvar del Campo,0.012275637081644237,0.048043021079261755,283,93
espana,Almogía,Almogía,0.0037044511591042477,0.005946743852067244,590,584
espana,Almudévar,Almudévar,0.001718636631303255,0.05931182279370245,730,52
espana,Almáchar,Almáchar,0.0028760516593315526,0.005215349935308319,642,607
espana,Altorricón,Altorricón,0.002645456811897471,0.023960375789749813,657,270
espana,Ames,Ames,0.0031903810879141668,0.004953026281273204,620,624
espana,Amposta,Amposta,0.007640267370982858,0.06465166531058676,394,43
espana,Anchuelo,Anchuelo,0.020092543012029878,0.017851346965271016,190,356
espana,Andorra,Andorra,0.0019670639493430944,0.0015272572061196996,713,795
espana,Antequera,Antequera,0.0029847699636646736,0.012255850039793164,631,441
espana,Aoiz/Agoitz,Aoiz/Agoitz,0.00022650551154660727,0.0,891,905
espana,Aranda de Duero,Aranda de Duero,0.05393255207049573,0.03257037165481764,34,165
espana,Aranga,Aranga,0.0007887686699532228,0.011626717886471658,838,453
espana,Aranjuez,Aranjuez,0.00931059569024787,0.0015005802243534165,353,797
espana,Arbizu,Arbizu,0.0028928822179096598,0.0039370778923405935,639,672
espana,Arbo,Arbo,0.0016549588527708786,0.0036925388928163334,742,681
espana,Arboleas,Arboleas,0.006113899022460162,0.01317398282891607,461,424
espana,Arcos de Jalón,Arcos de Jalón,0.08830864701688831,0.11362615766985457,5,6
espana,Areatza,Areatza,0.0061896178724996755,0.025300894123505533,456,261
espana,Arenas de San Juan,Arenas de San Juan,0.04764963173422744,0.03066296745852841,50,193
espana,Arenas del Rey,Arenas del Rey,0.009226386339253883,0.008180941074993443,355,519
espana,Aretxabaleta,Aretxabaleta,0.0058392979844484015,0.026696989502607675,478,247
espana,Argamasilla de Alba,Argamasilla de Alba,0.03307163415209718,0.07455994095494703,93,26
espana,Argoños,Argoños,0.0008869687113171954,0.0032034608937678124,829,700
espana,Arjonilla,Arjonilla,0.005003064780361008,0.00855664190153526,521,510
espana,Arnoia (A),Arnoia (A),0.0032978451529673877,0.00549545824385429,612,598
espana,Aroche,Aroche,0.002767613358976108,0.005928959197556388,648,585
espana,Arquillos,Arquillos,0.01901948159060439,0.052351353634516457,204,75
espana,Arroyo del Ojanco,Arroyo del Ojanco,0.023361899677205995,0.03690093502821091,164,140
espana,Arroyomolinos de León,Arroyomolinos de León,0.007483464381954575,0.009103520027744061,401,497
espana,Arróniz,Arróniz,0.010645236431400066,0.006422483360232623,315,568
espana,Artziniega,Artziniega,0.008108439740498581,0.005666635543521273,381,591
espana,Arévalo,Arévalo,0.021378907817915002,0.01458563978071521,184,406
espana,Astillero (El),Astillero (El),0.005023739590322723,0.0043150018006962694,518,651
espana,Astudillo,Astudillo,0.009381483032464399,0.04177837652781297,349,115
espana,Ayamonte,Ayamonte,0.0,0.0,943,905
espana,Ayora,Ayora,0.01718729581429976,0.02240866468367769,219,287
