cod,nombre,categoria,tipo_dep,tipo_dep_cod,estado,titular,lat,lon,conectado,n_conexiones
03308,CAUDETE A.V.,S,Estación,E,EX,AV,38.6679537652468,-0.92531833310495,SI,2
03309,VILLENA A.V.,P,Estación,E,EX,AV,38.5860550336058,-0.874860467010072,SI,2
B0333,BIF MURCIA,S,Bifurcación,B,EX,AV,38.4026798944309,-0.736781209477992,SI,3
03310,MONFORTE DEL CID A.V.,S,Estación,E,EX,AV,38.4056692364421,-0.704746493771731,SI,3
B0332,BIF AGUAVERDE,S,Bifurcación,B,EX,AV,38.7258060112957,-0.934406084380085,SI,2
B0331,BIF LA OLIVA,S,Bifurcación,B,EX,AV,38.7985475381422,-0.970977049467218,SI,2
03307,LAS CHOZAS,S,Estación,E,EX,AV,38.8206335151248,-0.979566857996772,SI,2
A1984,AG ENLACE VERIÑA,S,Bifurcación,B,EX,AD,43.54825974534,-5.72841741947082,SI,3
A1983,AG.ENL.SOTIELLO,S,Bifurcación,B,EX,AD,43.5420447498105,-5.72563220646832,SI,3
C1160,"P.K. 641,181 (FRONTERA)",S,Cargadero,K,EX,AV,43.3504200273709,-1.78622330716488,SI,1
C1161,"P.K.641,181(FRONTERA)",S,Fin de línea,F,FS,AV,43.3503630528299,-1.7861217636541,NO,0
C3308,FUENTES OÑORO-FRONTERA,S,Cargadero,K,EX,AV,40.6056988137551,-6.82600141660107,SI,1
C7730,"P.K. 50,707(FRONT)",S,Cargadero,K,EX,AV,42.4471599712421,1.91448846244572,SI,2
04313,LIMITE ADIF - LFPSA,S,Cargadero,K,EX,AV,42.294198447048,2.93026029206177,SI,1
A1702,"FUENCARRAL-AGUJA KM 4,5",S,Bifurcación,B,EX,AD,40.5119952972174,-3.68297701844904,SI,3
A7190,CASTELLBISBAL-AGUJAS LLOBREGAT,S,Bifurcación,B,EX,AD,41.4508432119272,1.99428381267642,SI,3
A7222,"AGUJA KM. 4,014",S,Fin de línea,F,FS,AD,41.4509267760368,1.98403586332749,NO,0
05129,A CUQUERIA,P,Punto KM,P,EX,AD,43.6078805550008,-7.92186666655553,SI,2
05207,ABOÑO APD,P,Punto KM,P,EX,AD,43.5550916663273,-5.72347777831755,SI,2
05957,ABREVADERO,P,Estación,E,EX,AD,37.6096805557777,-0.931813889057432,SI,2
05320,ACES,P,Punto KM,P,EX,AD,43.4398305553797,-6.06579166694623,SI,2
05604,ADARZO,P,Estación,E,EX,AD,43.453380555441,-3.85569722243526,SI,2
05409,AGUDA,P,Estación,E,EX,AD,43.4657194451121,-5.72600277783684,SI,2
05620,ALTAMIRA,P,Punto KM,P,EX,AD,43.3520416666645,-4.05716666717944,SI,2
05959,ALUMBRES,P,Punto KM,P,EX,AD,37.6099666667616,-0.915216666449049,SI,2
05119,APALLA,P,Punto KM,P,EX,AD,43.5504999997217,-8.01872222238879,SI,2
05473,ARANGUREN,P,Estación,E,EX,AD,43.2104416669384,-3.10947777848638,SI,3
05474,ARANGUREN APD,P,Punto KM,P,EX,AD,43.2102944444175,-3.1140444441259,SI,2
05301,ARGAÑOSA-LAVAPIES,P,Punto KM,P,EX,AD,43.3659250003016,-5.86991944488895,SI,2
05740,ARIJA,P,Estación,E,EX,AD,42.9912083336591,-3.94459166728821,SI,2
05713,ARIZ,S,Estación,E,EX,AD,43.2401083329909,-2.87942777768991,SI,1
05721,ARLA BERRON,P,Punto KM,P,EX,AD,43.1666583333959,-3.22774722204464,SI,2
05543,ARRIONDAS,P,Estación,E,EX,AD,43.387488888444,-5.18841111052452,SI,2
05469,ARTXUBE,P,Punto KM,P,EX,AD,43.2010194445444,-3.07164999976835,SI,2
05489,ARZENTALES,P,Punto KM,P,EX,AD,43.2355083331714,-3.21335833385302,SI,2
05657,ASTILLERO,P,Estación,E,EX,AD,43.4039111110624,-3.8208249997092,SI,2
05768,AVIADOS,P,Punto KM,P,EX,AD,42.8547249999194,-5.44282777806344,SI,2
