cod,nombre,categoria,tipo_dep,lat,lon,vecino_cod,vecino_nombre,vecino_cat,vecino_tipo_dep,vecino_lat,vecino_lon,dist_km,tipo_red,linea
B0103,BIF. LAS MARAVILLAS,S,Bifurcación,37.0437579273146,-4.69477220387205,54400,BOBADILLA,P,Estación,37.0375586885324,-4.72774821090879,3.3,Uso resto viaj. Interciud,420-BIF. MARAVILLAS-ALGECIRAS
B0103,BIF. LAS MARAVILLAS,S,Bifurcación,37.0437579273146,-4.69477220387205,A0427,"ANTEQUERA-STA.ANA-AGJ.KM. 50,4",S,Cargadero,37.0622856563275,-4.72110019374622,3.4,Uso resto viaj. Interciud,460-BIF. LAS MARAVILLAS-FUENTE DE PIEDRA
B0104,BIFURCACION LA VERONICA,S,Bifurcación,37.0339278515872,-4.58361811612515,02030,ANTEQUERA AV,P,Estación,37.0300002558847,-4.56010483110098,2.3,Uso resto viaj. Interciud,468-BIF. LAS MARAVILLAS-ANTEQUERA AV
B0104,BIFURCACION LA VERONICA,S,Bifurcación,37.0339278515872,-4.58361811612515,05020,LAS MARAVILLAS,S,Apartadero,37.0434729938671,-4.69474296738873,10.4,Uso resto viaj. Interciud,468-BIF. LAS MARAVILLAS-ANTEQUERA AV
B0105,BIF. BOBADILLA,S,Bifurcación,37.0437052187723,-4.64168497589416,02030,ANTEQUERA AV,P,Estación,37.0300002558847,-4.56010483110098,7.7,Uso viaj. Interciud V>160,036-ANTEQUERA-SANTA ANA-GRANADA
B0105,BIF. BOBADILLA,S,Bifurcación,37.0437052187723,-4.64168497589416,B0201,BIF. GOBANTES,S,Bifurcación,37.0121381153891,-4.72277864445528,8.6,Uso principal Alta Vel.,014-BIF. GOBANTES-BIF. BOBADILLA
B0105,BIF. BOBADILLA,S,Bifurcación,37.0437052187723,-4.64168497589416,02003,ANTEQUERA-SANTA ANA,P,Estación,37.0714488148423,-4.72019156371666,8.9,Uso viaj. Interciud V>160,036-ANTEQUERA-SANTA ANA-GRANADA
B0107,BIF. RIOFRIO,S,Bifurcación,37.137911670319,-4.21455703044024,05014,RIOFRIO (APD),S,Punto KM,37.1536760338493,-4.20135914036396,0.0,Uso viaj. Interciud V>160,036-ANTEQUERA-SANTA ANA-GRANADA
B0107,BIF. RIOFRIO,S,Bifurcación,37.137911670319,-4.21455703044024,C5441,KM 59.560,S,Cargadero,37.1363549964352,-4.21839658583821,0.4,Uso resto viaj. Interciud,466-BIF. RIOFRIO-ANTEQUERA
B0107,BIF. RIOFRIO,S,Bifurcación,37.137911670319,-4.21455703044024,05013,LOJA-SAN FRANCISCO (APD),P,Apartadero,37.1749658578159,-4.14954851290159,9.1,Uso viaj. Interciud V>160,036-ANTEQUERA-SANTA ANA-GRANADA
